show_id,name
s117,Ishaya Bako
s118,Anggy Umbara
s119,Richard Loncraine
s120,Marco Risi
s121,Victor Levin
s122,Peter Segal
s123,Jonathan Levine
s124,Rizal Mantovani
s125,Matei Dima
s126,Marja Lewis Ryan
s127,Toa Fraser
s128,Michael Bay
s129,Hannah Fidell
s130,Bharat Jain
s131,
s132,Trent Haaga
s133,Nizar Shafi
s134,Roger Gual
s135,
s136,"Meenu Gaur, Farjad Nabi"
s137,Vishal Bhardwaj
s138,
s139,
s140,
s141,
s142,
s143,
s144,Anita Udeep
s145,Steve Gukas
s146,Clay Glen
s147,Everardo GonzÃ¡lez
s148,Rachel Talalay
s149,"Jon Lucas, Scott Moore"
s150,Andrew Lau Wai-Keung
s151,Padmakumar Narasimhamurthy
s152,John Asher
s153,
s154,Richard Attenborough
s155,Shaun Paul Piccinino
s156,David de Vos
s157,Umut Kirca
s158,"Kevin Ko, Peter Tsi"
s159,
s160,Alex Zamm
s161,John Schultz
s162,John Schultz
s163,Thomas Astruc
s164,Mark Rosman
s165,Michelle Johnston
s166,Stanley Kubrick
s167,Stephen Gyllenhaal
s168,Savage Steve Holland
s169,Tyler Perry
s170,Tom Fassaert
s171,Mark Williams
s172,Robbie Countryman
s173,Remo D'Souza
s174,Bille August
s175,David Wain
s176,David Lowery
s177,Roman Coppola
s178,"Stanley Moore, Alex Woo"
s179,"Alex Woo, Stanley Moore"
s180,"Stanley Moore, Alex Woo"
s181,
s182,Richard Mears
s183,Erik Nelson
s184,Michael Tiddes
s185,Teo Konuralp
s186,Thomas Stuber
s187,Jim Fall
s188,Herman Yau
s189,
s190,"Coodie, Chike"
s191,Andy Goddard
s192,
s193,Yeo Siew Hua
s194,Chris Bell
s195,Francisco Macri
s196,"Steven Bognar, Julia Reichert"
s197,Alan Rickman
s198,
s199,
s200,
s201,Sophia Nahli Allison
s202,Maryo J. De los Reyes
s203,
s204,Thomas Sorriaux
s205,Ahmad El-Badri
s206,J.A. Bayona
s207,J.C. Chandor
s208,"Christopher S. Rech, Brandon Kimber"
s209,
s210,Otoja Abit
s211,John Fortenberry
s212,Joram LÃ¼rsen
s213,Michael Lennox
s214,
s215,Nicole Conn
s216,Kees Van Oostrum
s217,
s218,Michael Damian
s219,Carla Barros
s220,Marina Seresesky
s221,Henry Sarwer-Foner
s222,Ishaan Trivedi
s223,Cathy Garcia-Molina
s224,Chris Bolan
s225,Asghar Farhadi
s226,
s227,"Ethan Coen, Joel Coen"
s228,"Richard Phelan, Will Becher"
s229,Naoko Yamada
s230,Tom Ford
s231,Diego Lerman
s232,Maria Burton
s233,Larry Elikann
s234,"Evan Spiridellis, Jeff Gill"
s235,Chung Mong-hong
s236,
s237,Natalie Portman
s238,Trisha Ziff
s239,Martin Lawrence
s240,
s241,Brian Robbins
s242,
s243,Eddie Rosas
s244,Robert O. Peters
s245,Ravishankar Venkateswaran
s246,Ãlvaro Brechner
s247,Justin G. Dyck
s248,Sofia Coppola
s249,
s250,Cathy Garcia-Molina
s251,Adam Shankman
s252,Neeraj Pandey
s253,Gregory Caruso
s254,"Junichi Sato, Tomotaka Shibayama"
s255,Justin G. Dyck
s256,Ava DuVernay
s257,
s258,K. Rajagopal
s259,
s260,
s261,Kazuya Murata
s262,Rusty Nixon
s263,Oliver Daly
s264,Ã–mer Faruk Sorak
s265,Midhun Manuel Thomas
s266,Indrajit Nattoji
s267,Chandrakant Kulkarni
s268,Rajiv Mehra
s269,V C Abhilash
s270,Raj Kumar Gupta
s271,Satish Rajwade
s272,Prakash Jha
s273,Nagesh Kukunoor
s274,Umesh Mehra
s275,Uttung Shelar
s276,Ravi Babu
s277,Kyran Kelly
s278,Atanu Ghosh
s279,Remo D'Souza
s280,Remo D'Souza
s281,
s282,Skye Borgman
s283,Hashim Nadeem Khan
s284,A. L. Vijay
s285,"Jung-ah Im, Seung-uk Jo"
s286,Chad Van De Keere
s287,"Chris Weitz, Paul Weitz"
s288,Richard Curtis
s289,
s290,
s291,
s292,Daniela Goggi
s293,Alfonso Serrano Maturino
s294,Cheang Pou Soi
s295,
s296,Ralph Macchio
s297,Julien Christian Lutz
s298,Julie Taymor
s299,"Mike McCoy, Scott Waugh"
s300,Mahsun KÄ±rmÄ±zÄ±gÃ¼l
s301,Vipul Amrutlal Shah
s302,Isaac Florentine
s303,Brett Donowho
s304,
s305,Salvador Calvo
s306,Jay Karas
s307,
s308,Steve Brill
s309,Robert Markowitz
s310,Thierry Donard
s311,
s312,
s313,Fazila Allana
s314,Anne Fontaine
s315,Baltasar KormÃ¡kur
s316,Sandeep Chatterjee
s317,Jennifer Phang
s318,Kyle Rideout
s319,S.A. Zaidi
s320,
s321,"Junior Carelli, Rudge Campos"
s322,
s323,Juliana Vicente
s324,Jenny Gage
s325,
s326,Nadia Hallgren
s327,Bryce Wagoner
s328,Brittany Andrews
s329,Rodrigo Reyes
s330,Roger Kumble
s331,Elliott Lester
s332,Antonio Campos
s333,NicolÃ¡s LÃ³pez
s334,
s335,Terry Loane
s336,
s337,
s338,Peter Ho
s339,
s340,
s341,
s342,
s343,Rarecho
s344,Mukul Anand
s345,Mariano Baez
s346,Ram Gopal Varma
s347,Shivam Nair
s348,Alison Klayman
s349,
s350,
s351,
s352,Takeshi Fukunaga
s353,CÃ©sar Rodrigues
s354,Biswajeet Bora
s355,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla"
s356,Neeraj Pandey
s357,Sachin Kundalkar
s358,
s359,Rajkumar Santoshi
s360,
s361,
s362,Devashish Makhija
s363,Vikramaditya Motwane
s364,
s365,
s366,Pali Yahya
s367,Francisco D'Eufemia
s368,
s369,Trivikram Srinivas
s370,Toyin Abraham
s371,"RaÃºl Campos, Jan Suter"
s372,
s373,Shaz Bennett
s374,Soumitra Ranade
s375,Castille Landon
s376,
s377,"Gervasio Iglesias, Alexis Morante"
s378,Leticia Jorge Romero
s379,Alex DÃ­az
s380,Craig Johnson
s381,
s382,Youssef Chahine
s383,Youssef Chahine
s384,Luis Ara
s385,Hussein El Ansary
s386,Cem YÄ±lmaz
s387,Jay Karas
s388,Jay Karas
s389,Jeffrey Walker
s390,
s391,
s392,"Latif Faiziyev, Umesh Mehra"
s393,Martin Scorsese
s394,
s395,Gil Baroni
s396,J. Michael Long
s397,
s398,Jeremiah Jones
s399,
s400,Stephen Chiodo
s401,Sean McNamara
s402,Susan Glatzer
s403,Adze Ugah
s404,Eva Vives
s405,
s406,
s407,Adrian Teh
s408,Joe Robert Cole
s409,"Don Bluth, Gary Goldman, Dan Kuenster"
s410,
s411,VÃ­ctor GarcÃ­a
s412,
s413,
s414,Charlie Vaughn
s415,Hao Wu
s416,Chris Blake
s417,Dan Villegas
s418,Jonathan Levine
s419,Brett Haley
s420,Matthew Hope
s421,YibrÃ¡n Asuad
s422,Pedro Coutinho
s423,Brett Haley
s424,Vincent Kok
s425,Eva Trobisch
s426,Susan Walter
s427,HernÃ¡n Guerschuny
s428,Mike Doyle
s429,
s430,Vincent Perez
s431,Antoinette Jadaone
s432,Lee Tamahori
s433,Richard Rich
s434,Richard Rich
s435,
s436,Greg Kohs
s437,Adam Bhala Lough
s438,
s439,"Takeru Nakajima, Yoshiyuki Okada"
s440,Trey Haley
s441,
s442,Dan Villegas
s443,"Rod Blackhurst, Brian McGinn"
s444,Lee Hirsch
s445,Esteban Crespo
s446,Atul Malhotra
s447,Manmohan Desai
s448,Khaled Youssef
s449,Ryan Koo
s450,
s451,Edward Cotterill
s452,
s453,
s454,Charlie Siskel
s455,Michael Cuesta
s456,Sam Mendes
s457,Brendon Marotta
s458,
s459,
s460,Barak Goodman
s461,Sharon Grimberg
s462,Mark Zwonitzer
s463,"Steven Bognar, Julia Reichert"
s464,
s465,Wilson Coneybeare
s466,Sarik Andreasyan
s467,Tony Kaye
s468,Andrea Arnold
s469,
s470,Nick Davis
s471,Jenny Popplewell
s472,
s473,Mike Elliott
s474,Mary Harron
s475,Kenny Leon
s476,
s477,Jerry G. Angelo
s478,
s479,
s480,Ozan AÃ§Ä±ktan
s481,Lekh Tandon
s482,Asif Kapadia
s483,Amy Schumer
s484,Amy Schumer
s485,Karan Bali
s486,Don Bluth
s487,"Phil Nibbelink, Simon Wells"
s488,Larry Latham
s489,Larry Latham
s490,Rebecca Zlotowski
s491,Youssef Chahine
s492,Jim Hosking
s493,Wael Ehsan
s494,James Toback
s495,
s496,Perry Lang
s497,Brad Silberling
s498,Juan Camilo Pinzon
s499,"Ismail Farouk, Hazem Fouda"
s500,Matheus Souza
s501,Sekhar Kammula
s502,Avinash Das
s503,Carlos Marques-Marcet
s504,Lonzo Nzekwe
s505,
s506,Ãsold UggadÃ³ttir
s507,Wael Ehsan
s508,Rajkumar Santoshi
s509,Sriram Raghavan
s510,V Vignarajan
s511,V Vignarajan
s512,Josiah Ng
s513,Franck Nataf
s514,Tim Blake Nelson
s515,Lijo Jose Pellissery
s516,
s517,
s518,Luis Mandoki
s519,Ric Roman Waugh
s520,Damien Oâ€™Connor
s521,Damien Oâ€™Connor
s522,Ron Howard
s523,Peter Segal
s524,
s525,Pan Nalin
s526,Trivikram Srinivas
s527,Abhijeet Deshpande
s528,Paul Thomas Anderson
s529,"Tony Bancroft, Scott Christian Sava"
s530,Han Yan
s531,"Laura Alvea, JosÃ© OrtuÃ±o"
s532,"Andrucha Waddington, Pedro Waddington"
s533,N. Linguswamy
s534,
s535,
s536,Jay Karas
s537,Rajat Kapoor
s538,Sohail Tatari
s539,Paul Serafini
s540,
s541,
s542,Andrew Niccol
s543,Juan Zapata
s544,
s545,
s546,
s547,Peyton Reed
s548,Sherif Ismail
s549,Anirban Majumder
s550,
s551,Marcus Raboy
s552,Adam Dubin
s553,Raj Kaushal
s554,Ken Barbet
s555,
s556,Manish Jha
s557,
s558,"David Salzberg, Christian Tureaud"
s559,
s560,
s561,Prakash Jha
s562,"J.F. Musial, Josh Vietze"
s563,Gonzalo LÃ³pez-Gallego
s564,Gareth Evans
s565,"Christian Desmares, Franck Ekinci"
s566,
s567,Jean-Patrick Benes
s568,Christopher Chambers
s569,"RaÃºl Campos, Jan Suter"
s570,
s571,
s572,Aaron Woodley
s573,Marie Madinier
s574,Khaled El Halafawy
s575,
s576,
s577,
s578,August Jakobsson
s579,Eric Abrams
s580,Paul Dugdale
s581,Nia Dinata
s582,Arnab Chaudhuri
s583,Tony Elliott
s584,
s585,James Bamford
s586,Brian Volk-Weiss
s587,
s588,Jason Winer
s589,Sarah Smith
s590,Anubhav Sinha
s591,Edwin
s592,John Erick Dowdle
s593,James L. Brooks
s594,Samit Kakkad
s595,Rana Ranbir
s596,
s597,
s598,
s599,
s600,Santosh Sivan
s601,Alex Lehmann
s602,Hallvard BrÃ¦in
s603,John Murlowski
s604,
s605,Ricardo Maldonado
s606,A. Raajdheep
s607,Sung-soo Kim
s608,Mike Nicoll
s609,Jason Stone
s610,
s611,
s612,"Bonni Cohen, Jon Shenk"
s613,Mati Diop
s614,John Putch
s615,Mez Tharatorn
s616,
s617,
s618,"David Morris, Jacqui Morris"
s619,"Fabrizio Copano, Augusto Matte"
s620,
s621,"Bonni Cohen, Jon Shenk"
s622,
s623,Cristi Puiu
s624,Mike Rossiter
s625,
s626,Jay Roach
s627,Jay Roach
s628,Jay Roach
s629,Rohit Mittal
s630,Gabe IbÃ¡Ã±ez
s631,
s632,Tate Taylor
s633,
s634,Ertanto Robby Soediskam
s635,Jesse V. Johnson
s636,"Anthony Russo, Joe Russo"
s637,Levan Tsikurishvili
s638,Johnny Kevorkian
s639,"Aleksandr Chernyaev, Fedor Lyass"
s640,
s641,
s642,
s643,Prasanth Varma
s644,Nicholas Kharkongor
s645,Gangadhar Salimath
s646,Enrique GarcÃ­a Meza
s647,Kwabena Gyansah
s648,Anthony D'Souza
s649,Aziz Ansari
s650,"Will Lovelace, Dylan Southern"
s651,Spike Jonze
s652,
s653,Ajay Bahl
s654,Shadab Khan
s655,Milan Luthria
s656,Sabir Khan
s657,S.S. Rajamouli
s658,S.S. Rajamouli
s659,S.S. Rajamouli
s660,S.S. Rajamouli
s661,S.S. Rajamouli
s662,S.S. Rajamouli
s663,S.S. Rajamouli
s664,Gauravv K Chawla
s665,Ã‡agan Irmak
s666,MÃ¼fit Can SaÃ§Ä±ntÄ±
s667,Alejandro G. IÃ±Ã¡rritu
s668,
s669,
s670,
s671,Vijay Kumar Arora
s672,Stephanie Zwane
s673,
s674,Shikha Makan
s675,JosÃ© Eduardo Belmonte
s676,Louise Alston
s677,
s678,
s679,"RÃ©my Four, Julien War"
s680,Yanyong Kuruaungkoul
s681,
s682,Adam MacDonald
s683,Gonzalo LÃ³pez-Gallego
s684,Dave Patten
s685,Michael Petroni
s686,
s687,
s688,Michael Bay
s689,Michael Bay
s690,Chris Baugh
s691,
s692,Nattawut Poonpiriya
s693,Jeff Tremaine
s694,
s695,
s696,David Chirchirillo
s697,Salima Koroma
s698,Kheiron
s699,
s700,"Sumitra Bhave, Sunil Sukthankar"
s701,Sujoy Ghosh
s702,Justin Lee
s703,
s704,
s705,
s706,
s707,Vijay S. Bhanushali
s708,
s709,Simon Wells
s710,Phil Weinstein
s711,Phil Weinstein
s712,Haissam Hussain
s713,Burak Aksak
s714,BB Sasore
s715,Ben Kasulke
s716,Zoe Lister-Jones
s717,"Aaron Nee, Adam Nee"
s718,Alo Sarkar
s719,Tanit Jitnukul
s720,Karan Anshuman
s721,
s722,
s723,Manop Janjarasskul
s724,
s725,
s726,
s727,
s728,Adisorn Tresirikasem
s729,Jordi Llompart
s730,Raja Menon
s731,Mahmoud Sabbagh
s732,
s733,Matthew Salleh
s734,Kyran Kelly
s735,Conrad Helten
s736,
s737,
s738,Adam Wood
s739,Zeke Norton
s740,Karen J. Lloyd
s741,
s742,Conrad Helten
s743,"Andrew Tan, Michael Goguen"
s744,William Lau
s745,Ezekiel Norton
s746,Conrad Helten
s747,Ezekiel Norton
s748,"Conrad Helten, Ezekiel Norton, Michael Goguen"
s749,"Barbra Streisand, Jim Gable"
s750,Olivia M. Lamasan
s751,
s752,Ashwiny Iyer Tiwari
s753,Kyle Newman
s754,Anurag Basu
s755,Esteban Vidal
s756,Vikram Gandhi
s757,Rajkumar Santoshi
s758,David Zucker
s759,Paul Verhoeven
s760,
s761,
s762,
s763,Deep Joshi
s764,Dava Whisenant
s765,Sam Liu
s766,Katarina Launing
s767,
s768,Mitch Gould
s769,
s770,
s771,Hrishikesh Mukherjee
s772,Florian Schott
s773,Kyzza Terrazas
s774,Sagar Sarhadi
s775,Puri Jagannadh
s776,Lilibet Foster
s777,Joshua Caldwell
s778,
s779,
s780,
s781,"Volker Arzt, Angelika Sigl"
s782,Mel Smith
s783,
s784,
s785,
s786,Cary Joji Fukunaga
s787,
s788,Josh Wakely
s789,
s790,Chris Robinson
s791,MarÃ­a Jose Cuevas
s792,
s793,Wenn V. Deramas
s794,
s795,Mike Judge
s796,Bruce W. Smith
s797,"Agasyah Karim, Khalid Kashogi"
s798,
s799,Khaled El Halafawy
s800,Nadia Hallgren
s801,
s802,Julian Jarrold
s803,Adam Shankman
s804,"Steve Hickner, Simon J. Smith"
s805,Tinge Krishnan
s806,BB Sasore
s807,Ry Russo-Young
s808,Mike Flanagan
s809,Fisher Stevens
s810,Mohamed Khan
s811,Keiko Yagi
s812,
s813,Katherine Fairfax Wright
s814,Daniel J. Clark
s815,
s816,
s817,Rajeev Chaudhari
s818,Anthony Wonke
s819,Constance Marks
s820,
s821,Omoni Oboli
s822,"Jesse Handsher, Olivier Roland"
s823,Maroun Baghdadi
s824,"Felix Van Groeningen, Felix van Groeningen"
s825,David Stubbs
s826,
s827,Federico Veiroj
s828,April Mullen
s829,
s830,
s831,"Alex Timbers, Sam Wrench"
s832,Jon Rosenbaum
s833,"Kief Davidson, Pedro Kos"
s834,Adam Marino
s835,Brandon Camp
s836,Joe Camp
s837,Joe Camp
s838,Alex Ranarivelo
s839,Hannes StÃ¶hr
s840,Hakan AlgÃ¼l
s841,Cate Shortland
s842,Franziska Meyer Price
s843,
s844,Toshiyuki Kubooka
s845,Toshiyuki Kubooka
s846,Toshiyuki Kubooka
s847,Jeff Tomsic
s848,Todd Biermann
s849,Ryan Polito
s850,
s851,
s852,Tamer Bassiouni
s853,
s854,Amy Segal
s855,Lonny Price
s856,
s857,
s858,Aaron Lieber
s859,
s860,
s861,Ted Braun
s862,Steve Boettcher
s863,
s864,Jason Paul Laxamana
s865,Scott Aukerman
s866,Maria Pulera
s867,Dharmesh Darshan
s868,Khaled Marei
s869,
s870,
s871,
s872,
s873,
s874,"Muharrem GÃ¼lmez, SÄ±rrÄ± SÃ¼reyya Ã–nder"
s875,Sushrut Jain
s876,Liam O'Donnell
s877,
s878,Anna Stone
s879,Majid Majidi
s880,
s881,
s882,
s883,Priyadarshan
s884,Mahesh Manjrekar
s885,Mahesh Manjrekar
s886,Smeep Kang
s887,Sneha Taurani
s888,Nishil Sheth
s889,Vikramaditya Motwane
s890,Rajiv Chilaka
s891,Venky Kudumula
s892,Priyadarshan
s893,Ram Gopal Varma
s894,Jasbir Bijendra Bhati
s895,Detlev Buck
s896,Detlev Buck
s897,Detlev Buck
s898,Detlev Buck
s899,
s900,
s901,Joey Kern
s902,Dennis Dugan
s903,
s904,Shawn Levy
s905,Scott Martin
s906,Ken Kwapis
s907,
s908,Adriana Trigiani
s909,Kaspar Astrup SchrÃ¶der
s910,Savage Steve Holland
s911,"Bigflo & Oli, JÃ©rÃ©mie Levypon"
s912,Ron Oliver
s913,Nick Broomfield
s914,Eva Orner
s915,Jay Karas
s916,Shannon Hartman
s917,Mike Binder
s918,Jay Karas
s919,Jay Karas
s920,John Fortenberry
s921,
s922,Chris Bould
s923,Chris Bould
s924,"Kevin Booth, David Johndrow"
s925,
s926,"Jason Sussberg, David Alvarado"
s927,Priyadarshan
s928,Stephen Daldry
s929,"Vonda Harrell, Daniel Camenisch"
s930,
s931,Indrasis Acharya
s932,
s933,"Gajendra Ahire, Viju Mane, Girish Mohite, Ravi Jadhav"
s934,Sermiyan Midyat
s935,Susanne Bier
s936,Otilia Portillo Padua
s937,Mikhail Red
s938,Emanuel Hoss-Desmarais
s939,Marianna Palka
s940,Ham Tran
s941,
s942,Miguel Conde
s943,Khaled Marei
s944,Supavitra Babul
s945,Raja Chanda
s946,Lance Daly
s947,Mark Harris
s948,
s949,
s950,
s951,Anurag Kashyap
s952,Ridley Scott
s953,
s954,
s955,
s956,Jose Manuel ColÃ³n
s957,
s958,
s959,Ahmet KatÄ±ksÄ±z
s960,Ryan Coogler
s961,Alexander Nevsky
s962,Kevin MacDonald
s963,Jesse Gustafson
s964,Craig Brewer
s965,Martin Hodara
s966,
s967,
s968,Gabriela Cowperthwaite
s969,Caroline Suh
s970,Daniel Alfredson
s971,Hiroyuki Seshita
s972,Ethan Hawke
s973,
s974,
s975,Noriyuki Abe
s976,Noriyuki Abe
s977,Ben Younger
s978,Mahmoud al Massad
s979,Clovis Cornillac
s980,Johnnie To
s981,
s982,Deane Taylor
s983,Andrew Wessels
s984,July Hygreck
s985,
s986,
s987,Jean-FranÃ§ois Richet
s988,Vishal Mahadkar
s989,
s990,
s991,"Miguel Cohan, Miguel Cohan"
s992,
s993,
s994,Ted Demme
s995,
s996,
s997,Abdellatif Kechiche
s998,Woody Allen
s999,Alex Lehmann
s1000,Lev L. Spiro
s1001,
s1002,Jeremy Saulnier
s1003,Les Mayfield
s1004,Derek Cianfrance
s1005,Rohan Sippy
s1006,Barry Avrich
s1007,
s1008,Nawapol Thamrongrattanarit
s1009,"Bo Burnham, Christopher Storer"
s1010,"Bo Burnham, Christopher Storer"
s1011,
s1012,Jeremy Kenyon Lockyer Corbell
s1013,
s1014,Jay Surridge
s1015,Elvira Lind
s1016,Kirk Wise
s1017,Raj Kapoor
s1018,Samar Shaikh
s1019,Dawn Porter
s1020,"Gabriel Clarke, Torquil Jones"
s1021,Brendan Byrne
s1022,
s1023,Siddique
s1024,Nisheeta Keni
s1025,Jorge M. Fontana
s1026,
s1027,
s1028,"Geoffrey Orthwein, Andrew Sullivan"
s1029,"Luis Alberto Restrepo, AndrÃ©s BeltrÃ¡n, Jaime Rayo"
s1030,Nagesh Kukunoor
s1031,"Byron Howard, Chris Williams"
s1032,Borja Cobeaga
s1033,Pia Sukanya
s1034,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar"
s1035,Riccardo Pilizzeri
s1036,Alexandra Dean
s1037,Jelle de Jonge
s1038,Alain Desrochers
s1039,Erik Canuel
s1040,
s1041,
s1042,Arthur Penn
s1043,
s1044,
s1045,
s1046,Kaizad Gustad
s1047,
s1048,
s1049,
s1050,
s1051,
s1052,
s1053,
s1054,Perci Intalan
s1055,HernÃ¡n Zin
s1056,HernÃ¡n Zin
s1057,Bryn Evans
s1058,"Gary Cohen, Ross Hockrow"
s1059,Gayane Petrosyan
s1060,Anthony D'Souza
s1061,Philippe Aractingi
s1062,
s1063,
s1064,Richard Sears
s1065,
s1066,"Ahmed Yousry, Hazem Fouda"
s1067,AlÃª Abreu
s1068,Chris Stokes
s1069,Mar Targarona
s1070,Todor Chapkanov
s1071,
s1072,Jay Chapman
s1073,Qaushiq Mukherjee
s1074,
s1075,Gerard Barrett
s1076,
s1077,Michael Doneger
s1078,Sean McNamara
s1079,Tim Neeves
s1080,Cecilia Peck
s1081,Jody Lambert
s1082,Lin Oeding
s1083,
s1084,
s1085,Marc Fouchard
s1086,Picky Talarico
s1087,Danish Aslam
s1088,Lawrence Cheng
s1089,
s1090,
s1091,Sridhar Rangayan
s1092,Vadim Jean
s1093,
s1094,Simon Baker
s1095,Sandra Restrepo
s1096,
s1097,Troy Miller
s1098,Rian Johnson
s1099,Mae Czarina Cruz
s1100,Andibachtiar Yusuf
s1101,
s1102,
s1103,David Ayer
s1104,David Ayer
s1105,Nikhil Nagesh Bhat
s1106,Park Joon-hwa
s1107,Robert Adetuyi
s1108,
s1109,
s1110,
s1111,
s1112,Antoine Fuqua
s1113,Julien Abraham
s1114,Onur Bilgetay
s1115,Todd S. Yellin
s1116,
s1117,Lu Yang
s1118,Karan Malhotra
s1119,
s1120,Vivieno Caldinelli
s1121,Vivieno Caldinelli
s1122,Vivieno Caldinelli
s1123,Tejas Prabha Vijay Deoskar
s1124,Xavier Gens
s1125,
s1126,
s1127,Marcelo GalvÃ£o
s1128,
s1129,Harry Chaskin
s1130,Soumendra Padhi
s1131,Mike Wiluan
s1132,Andreas Johnsen
s1133,Anvita Dutt
s1134,Rima Das
s1135,"Paul Solet, Rick Benattar"
s1136,Don Michael Paul
s1137,David McCracken
s1138,Lee Hirsch
s1139,
s1140,
s1141,
s1142,Steve Antin
s1143,Jon Manning
s1144,Yann Gozlan
s1145,
s1146,Lee Chang-dong
s1147,Phillip Youmans
s1148,Gerard McMurray
s1149,
s1150,"Cary Murnion, Jonathan Milott"
s1151,
s1152,Sarah Adina Smith
s1153,Daniel Mann
s1154,Erik Matti
s1155,Jun Lana
s1156,Angelina Jolie
s1157,Almunsif Alsuwaisi
s1158,Hakan AlgÃ¼l
s1159,Naman Nitin Mukesh
s1160,Sachin Yardi
s1161,Daniele Thompson
s1162,Travis Zariwny
s1163,
s1164,
s1165,Jarand Herdal
s1166,
s1167,Angga Dwimas Sasongko
s1168,NÃ©stor SÃ¡nchez Sotelo
s1169,
s1170,Youssef Chahine
s1171,Asim Abbasi
s1172,Madhur Bhandarkar
s1173,Matt Palmer
s1174,
s1175,
s1176,Momoko Kamiya
s1177,Momoko Kamiya
s1178,Momoko Kamiya
s1179,
s1180,
s1181,
s1182,Philippa Lowthorpe
s1183,Vlad Yudin
s1184,Daniel Goldhaber
s1185,
s1186,Alexis Morante
s1187,Carlos Bolado
s1188,Scott Marshall Smith
s1189,Lisa Arnold
s1190,
s1191,Peter Sattler
s1192,
s1193,
s1194,
s1195,"Harry Elfont, Deborah Kaplan"
s1196,Mae Czarina Cruz
s1197,Ahmed Nader Galal
s1198,Ben Shelton
s1199,
s1200,Shanawaz Nellikunnil
s1201,Bernard Rose
s1202,
s1203,
s1204,Frank E. Abney III
s1205,Justin Pemberton
s1206,Noushad
s1207,
s1208,"Erik Kling, Kevin Peaty"
s1209,
s1210,
s1211,Olivier Marchal
s1212,Mark O'Connor
s1213,
s1214,
s1215,
s1216,Maha Venkatesh
s1217,Chito S. RoÃ±o
s1218,Arati Kadav
s1219,"Elsa Flores Almaraz, Richard J Montoya"
s1220,"Jan Suter, RaÃºl Campos Delgado"
s1221,"RaÃºl Campos, Jan Suter"
s1222,Alejandro Hartmann
s1223,
s1224,Jos Humphrey
s1225,Todd Haynes
s1226,
s1227,Brian De Palma
s1228,Susan Johnson
s1229,"Ã€lex Pastor, David Pastor"
s1230,Matt Piedmont
s1231,Hubert Woroniecki
s1232,
s1233,Christian Alvart
s1234,
s1235,Martin Campbell
s1236,Wong Jing
s1237,Wong Jing
s1238,Kitty Green
s1239,
s1240,
s1241,
s1242,Richard Brooks
s1243,Steven Spielberg
s1244,Kagiso Lediga
s1245,Shalini Kantayya
s1246,Onur Tukel
s1247,
s1248,Brad Peyton
